City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Leh,IN,34.1667,77.5833,26.38,75,29,4.18,scattered clouds
80,Omboue,GA,-1.5746,9.2618,77.47,88,83,5.75,light rain
81,Roma,US,43.2128,-75.4557,52.72,94,100,6.91,overcast clouds
82,Birjand,IR,32.8663,59.2211,41.47,26,0,6.91,clear sky
83,Norman Wells,CA,65.282,-126.8329,-0.36,78,100,10.36,light snow
84,Qaanaaq,GL,77.484,-69.3632,-7.98,94,100,6.82,overcast clouds
85,Dawei,MM,14.0833,98.2,82.96,73,100,3.42,overcast clouds
86,Lebu,CL,-37.6167,-73.65,54.27,72,100,6.44,overcast clouds
87,East London,ZA,-33.0153,27.9116,65.34,94,0,4.61,clear sky
88,Tasiilaq,GL,65.6145,-37.6368,15.96,70,13,8.03,few clouds
89,Promyshlennyy,RU,67.5833,63.9167,22.41,96,100,8.21,light snow
90,Kachiry,KZ,53.0675,76.1036,6.48,90,69,9.62,broken clouds
91,Kenai,US,60.5544,-151.2583,44.69,65,0,11.5,clear sky
92,Port Blair,IN,11.6667,92.75,80.64,83,75,4.61,heavy intensity rain
93,Cape Town,ZA,-33.9258,18.4232,68.41,85,0,13.8,clear sky
94,Almaznyy,RU,48.0448,40.045,22.73,77,40,9.95,scattered clouds
95,Severnyy,RU,50.677,36.5532,15.84,73,0,0.0,clear sky
96,Evensk,RU,61.95,159.2333,20.23,83,52,6.58,broken clouds
97,Bengkulu,ID,-3.8004,102.2655,83.89,64,97,4.68,overcast clouds
98,Airai,TL,-8.9266,125.4092,76.93,51,60,0.76,broken clouds
99,La Romana,DO,18.4273,-68.9728,75.56,94,40,10.36,scattered clouds
100,Paamiut,GL,61.994,-49.6678,-0.02,93,87,7.07,overcast clouds
101,Port Elizabeth,ZA,-33.918,25.5701,69.31,99,100,1.99,overcast clouds
102,Castro,BR,-24.7911,-50.0119,62.82,95,99,7.02,overcast clouds
103,Nemuro,JP,43.3236,145.575,30.88,79,78,22.57,broken clouds
104,The Valley,AI,18.217,-63.0578,78.1,73,75,13.8,broken clouds
105,Vaini,TO,-21.2,-175.2,82.56,83,100,10.36,overcast clouds
106,Bara,NG,10.3744,10.7288,72.5,12,88,6.87,overcast clouds
107,Phangnga,TH,8.4509,98.5298,86.04,64,100,3.06,overcast clouds
108,Lakatoro,VU,-16.0999,167.4164,83.93,75,88,8.1,overcast clouds
109,Chuy,UY,-33.6971,-53.4616,55.0,69,36,5.57,scattered clouds
110,Mahebourg,MU,-20.4081,57.7,83.25,94,40,3.44,scattered clouds
111,Chernogorsk,RU,53.8236,91.2842,26.17,46,0,6.71,clear sky
112,Ribeira Grande,PT,38.5167,-28.7,58.03,70,97,23.38,overcast clouds
113,Tiksi,RU,71.6872,128.8694,10.51,77,100,24.79,overcast clouds
114,Xingyi,CN,24.1877,102.817,77.43,21,78,16.49,broken clouds
115,Gazli,UZ,40.1333,63.45,38.37,50,38,19.06,scattered clouds
116,Saint-Philippe,RE,-21.3585,55.7679,77.11,90,88,12.17,moderate rain
117,Pajapan,MX,18.25,-94.7,69.67,93,40,9.84,scattered clouds
118,Bredasdorp,ZA,-34.5322,20.0403,69.17,84,59,8.95,broken clouds
119,Fuyu,CN,45.1833,124.8167,34.48,35,9,9.46,clear sky
